column,n_missing,pct_missing
campaignIndex,1277428,83.97
quantity,1182841,77.75
quantity_class,1182841,77.75
pharmForm,109963,7.23
pharmForm_norm,109963,7.23
competitorPrice_per_unit,58025,3.81
competitorPrice,57891,3.81
competitorPrice_discount,57891,3.81
price_diff,57891,3.81
price_discount_diff,57891,3.81
is_lower_price,57891,3.81
is_greater_discount,57891,3.81
category,52199,3.43
category_norm,52199,3.43
pack_total_size,134,0.01
pack_size,134,0.01
price_per_unit,134,0.01
rrp_per_unit,134,0.01
