feature_name,dtype,feature_type,family,missing_rate,n_unique,is_constant,near_zero_variance,mutual_information,chi2_available,chi2_score,notes
day,int64,numeric,time,0.0,45,False,False,0.00492,True,138.207,
day_7,int64,numeric,time,0.0,7,False,False,0.000832,True,33.6384,
day_14,int64,numeric,time,0.0,14,False,False,0.001236,True,63.962,
day_30,int64,numeric,time,0.0,30,False,False,0.004155,True,133.5308,
adFlag,int64,binary,campaign_ad,0.0,2,False,False,0.000692,True,,
availability,int64,numeric,product_master,0.0,4,False,False,0.005753,True,,
price,float64,numeric,price_absolute,0.0,6179,False,False,0.0,True,21.9443,
rrp,float64,numeric,price_absolute,0.0,3254,False,False,0.000349,True,11.3523,
competitorPrice,float64,numeric,price_absolute,0.038055,4617,False,False,0.001718,True,7.1436,
competitorPrice_missing,int64,binary,price_absolute,0.0,2,False,True,0.000772,True,,NEAR_ZERO_VAR
genericProduct,int64,binary,product_master,0.0,2,False,False,0.0,True,,
salesIndex,int64,numeric,campaign_ad,0.0,4,False,False,0.003255,True,3.2966,
category_norm,object,categorical,product_master,0.0,410,False,False,0.004388,True,437.1463,
pharmForm_norm,object,categorical,product_master,0.0,182,False,False,0.0015,True,153.5623,
campaignIndex_norm,object,categorical,campaign_ad,0.0,4,False,False,3.4e-05,True,0.1976,
has_campaign,int64,binary,campaign_ad,0.0,2,False,False,0.001607,True,,
manufacturer_freq,float64,numeric,product_master,0.0,544,False,False,0.0,True,6.7495,
group12,object,categorical,product_master,0.0,21,False,False,0.000303,True,23.9978,
group34,object,categorical,product_master,0.0,16,False,False,0.000145,True,16.2623,
is_multipack,int64,binary,pack_structure,0.0,2,False,False,0.0,True,,
pack_n,int64,numeric,pack_structure,0.0,31,False,True,0.0,True,,NEAR_ZERO_VAR
pack_size,float64,numeric,pack_structure,8.8e-05,225,False,False,0.0,True,2.9153,
pack_total_size,float64,numeric,pack_structure,8.8e-05,247,False,False,0.0,True,15.0438,
price_diff,float64,numeric,price_relative,0.038055,10095,False,False,0.0,True,8.2384,
price_discount,float64,numeric,price_relative,0.0,36655,False,False,0.0,True,14.1777,
competitorPrice_discount,float64,numeric,price_relative,0.038055,33477,False,False,0.0,True,13.4892,
price_discount_diff,float64,numeric,price_relative,0.038055,83844,False,False,0.0,True,11.1948,
is_lower_price,float64,binary,price_relative,0.038055,2,False,False,0.0,True,,
is_discount,float64,binary,price_relative,0.0,2,False,True,0.000779,True,,NEAR_ZERO_VAR
is_greater_discount,float64,binary,price_relative,0.038055,2,False,False,0.000998,True,,
rrp_per_unit,float64,numeric,per_unit,8.8e-05,8770,False,False,0.000149,True,6.9051,
price_per_unit,float64,numeric,per_unit,8.8e-05,25102,False,False,0.000909,True,10.9938,
competitorPrice_per_unit,float64,numeric,per_unit,0.038143,19077,False,False,0.0,True,11.1394,
