variant,model,feature_name,coefficient,importance,selected,mae,median_ae,rmse
SAFE_PRUNED,Lasso,day,-0.00142,0.00142,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,day_7,0.00115,0.00115,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,day_14,-0.006574,0.006574,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,day_30,-0.001054,0.001054,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,price,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,competitorPrice,7e-06,7e-06,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,genericProduct,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,salesIndex,-4.3e-05,4.3e-05,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,category_norm,-1.9e-05,1.9e-05,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,pharmForm_norm,-6.5e-05,6.5e-05,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,campaignIndex_norm,0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,manufacturer_freq,0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,group34,-0.000116,0.000116,True,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,is_multipack,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,price_diff,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,price_discount,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,price_diff_bin,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,Lasso,discount_bin,-0.0,0.0,False,0.5316,0.3131,1.3738
SAFE_PRUNED,ElasticNet,day,-0.001417,0.001417,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,day_7,0.00351,0.00351,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,day_14,-0.007425,0.007425,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,day_30,-0.001057,0.001057,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,price,-0.0,0.0,False,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,competitorPrice,2.9e-05,2.9e-05,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,genericProduct,-0.0,0.0,False,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,salesIndex,-0.00031,0.00031,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,category_norm,-1.9e-05,1.9e-05,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,pharmForm_norm,-6.8e-05,6.8e-05,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,campaignIndex_norm,0.0,0.0,False,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,manufacturer_freq,0.0,0.0,False,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,group34,-0.000665,0.000665,True,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,is_multipack,-0.0,0.0,False,0.5316,0.3174,1.3738
SAFE_PRUNED,ElasticNet,price_diff,-2.1e-05,2.1e-05,True,0.5316,0.3174,1.3738
