experiment,family,n_features,f1,pr_auc,roc_auc,f1_delta,pr_auc_delta
ALL_FULL_PRUNED,—,28,0.1078,0.4162,0.7178,,
leave_out_price_absolute,price_absolute,26,0.1091,0.4162,0.7178,0.0013,0.0
leave_out_price_relative,price_relative,25,0.1102,0.4163,0.7178,0.0024,0.0001
leave_out_per_unit,per_unit,27,0.1025,0.4159,0.7177,-0.0053,-0.0003
leave_out_time,time,24,0.132,0.4167,0.7179,0.0242,0.0005
leave_out_campaign_ad,campaign_ad,25,0.1091,0.4162,0.7179,0.0013,0.0
leave_out_product_master,product_master,23,0.1045,0.4158,0.7177,-0.0033,-0.0004
leave_out_conditional_history,conditional_history,22,0.1078,0.4153,0.7153,0.0,-0.0009
leave_out_conditional_oof_segment,conditional_oof_segment,24,0.0799,0.413,0.7144,-0.0279,-0.0032
core_time_only,time,4,0.0,0.2481,0.5201,,
core_plus_price_absolute,price_absolute,6,0.0,0.2498,0.5197,0.0,0.0017
core_plus_price_relative,price_relative,7,0.0,0.2478,0.5175,0.0,-0.0003
core_plus_per_unit,per_unit,5,0.0,0.249,0.5194,0.0,0.0009
core_plus_campaign_ad,campaign_ad,7,0.0,0.2468,0.5163,0.0,-0.0013
core_plus_product_master,product_master,9,0.0,0.2487,0.5203,0.0,0.0006
core_plus_conditional_history,conditional_history,10,0.0704,0.4121,0.7141,0.0704,0.164
core_plus_conditional_oof_segment,conditional_oof_segment,8,0.1085,0.4154,0.7155,0.1085,0.1673
