experiment,family,n_features,mae,median_ae,rmse,mae_delta,median_ae_delta
ALL_FULL_PRUNED,—,26,0.5374,0.271,1.3643,,
leave_out_price_absolute,price_absolute,24,0.5378,0.2908,1.3615,0.0004,0.0198
leave_out_price_relative,price_relative,22,0.538,0.2876,1.3663,0.0006,0.0166
leave_out_time,time,22,0.5152,0.2715,1.3391,-0.0222,0.0005
leave_out_campaign_ad,campaign_ad,24,0.5365,0.2829,1.3603,-0.0009,0.0119
leave_out_product_master,product_master,21,0.5293,0.2774,1.3601,-0.0081,0.0064
leave_out_pack_structure,pack_structure,25,0.5373,0.2796,1.3645,-0.0001,0.0086
leave_out_conditional_history,conditional_history,20,0.5186,0.2743,1.3648,-0.0188,0.0033
leave_out_conditional_oof_segment,conditional_oof_segment,24,0.52,0.2696,1.3679,-0.0174,-0.0014
core_time_only,time,4,0.5217,0.2921,1.3751,,
core_plus_price_absolute,price_absolute,6,0.5278,0.2984,1.3752,0.0061,0.0063
core_plus_price_relative,price_relative,8,0.5241,0.2922,1.3756,0.0024,0.0001
core_plus_campaign_ad,campaign_ad,6,0.5253,0.2984,1.3748,0.0036,0.0063
core_plus_product_master,product_master,9,0.522,0.2922,1.3752,0.0003,0.0001
core_plus_pack_structure,pack_structure,5,0.5228,0.2943,1.3752,0.0011,0.0022
core_plus_conditional_history,conditional_history,10,0.5161,0.2511,1.37,-0.0056,-0.041
core_plus_conditional_oof_segment,conditional_oof_segment,6,0.531,0.2801,1.3682,0.0093,-0.012
