feature_name,dtype,feature_type,family,missing_rate,n_unique,is_constant,near_zero_variance,mutual_information_reg,spearman_corr,notes
day,int64,numeric,time,0.0,45,False,False,0.014051,-0.035611,
day_7,int64,numeric,time,0.0,7,False,False,0.004554,0.002455,
day_14,int64,numeric,time,0.0,14,False,False,0.002998,-0.025372,
day_30,int64,numeric,time,0.0,30,False,False,0.003075,-0.011093,
adFlag,int64,binary,campaign_ad,0.0,2,False,False,0.0,0.003025,
availability,int64,numeric,product_master,0.0,4,False,True,0.001869,-0.00265,NEAR_ZERO_VAR
price,float64,numeric,price_absolute,0.0,4309,False,False,0.000548,-0.001506,
rrp,float64,numeric,price_absolute,0.0,2796,False,False,0.0,0.005042,
competitorPrice,float64,numeric,price_absolute,0.023194,3732,False,False,0.0008,0.002637,
competitorPrice_missing,int64,binary,price_absolute,0.0,2,False,True,0.0,-0.005662,NEAR_ZERO_VAR
genericProduct,int64,binary,product_master,0.0,2,False,False,0.003283,0.002669,
salesIndex,int64,numeric,campaign_ad,0.0,4,False,False,0.001661,0.003318,
category_norm,object,categorical,product_master,0.0,399,False,False,0.037719,-0.002506,
pharmForm_norm,object,categorical,product_master,0.0,173,False,False,0.013963,-0.002304,
campaignIndex_norm,object,categorical,campaign_ad,0.0,4,False,False,0.002946,0.000192,
has_campaign,int64,binary,campaign_ad,0.0,2,False,False,0.0,0.003222,
manufacturer_freq,float64,numeric,product_master,0.0,544,False,False,0.000455,0.004771,
group12,object,categorical,product_master,0.0,21,False,False,0.0,-0.004728,
group34,object,categorical,product_master,0.0,16,False,False,0.003979,0.001723,
is_multipack,int64,binary,pack_structure,0.0,2,False,False,0.001652,0.005254,
pack_n,int64,numeric,pack_structure,0.0,31,False,True,0.0,-9.6e-05,NEAR_ZERO_VAR
pack_size,float64,numeric,pack_structure,2.4e-05,216,False,False,0.0,-0.010651,
pack_total_size,float64,numeric,pack_structure,2.4e-05,229,False,False,0.0,-0.001464,
price_diff,float64,numeric,price_relative,0.023194,6817,False,False,0.001531,0.005766,
price_discount,float64,numeric,price_relative,0.0,17339,False,False,0.00036,-0.00126,
competitorPrice_discount,float64,numeric,price_relative,0.023194,22490,False,False,0.0,-0.003889,
price_discount_diff,float64,numeric,price_relative,0.023194,41379,False,False,0.0,-0.003874,
is_lower_price,float64,binary,price_relative,0.023194,2,False,False,0.0,0.003989,
is_discount,float64,binary,price_relative,0.0,2,False,True,0.000642,0.001124,NEAR_ZERO_VAR
is_greater_discount,float64,binary,price_relative,0.023194,2,False,False,0.0,-0.005992,
rrp_per_unit,float64,numeric,per_unit,2.4e-05,7383,False,False,0.0,-0.003209,
price_per_unit,float64,numeric,per_unit,2.4e-05,14428,False,False,0.0,0.000797,
competitorPrice_per_unit,float64,numeric,per_unit,0.023218,14056,False,False,0.0,0.006528,
price_diff_bin,object,categorical,price_relative,0.0,21,False,False,0.002423,-0.003851,
discount_bin,object,categorical,price_relative,0.0,20,False,False,0.002286,0.001626,
