pid,pid_segment
2655,Head
16641,Head
2491,Head
7403,Head
16144,Head
3853,Head
1567,Head
1247,Head
11569,Head
1037,Head
1426,Head
1145,Head
1248,Head
4070,Head
12892,Head
4069,Head
15491,Head
7680,Head
17226,Head
14776,Head
3854,Head
18007,Head
9262,Head
4529,Head
7413,Head
2492,Head
17316,Head
4838,Head
20982,Head
1067,Head
10342,Head
21784,Head
13426,Head
8435,Head
8901,Head
3851,Head
3850,Head
4530,Head
9747,Head
3030,Head
4914,Head
5784,Head
3856,Head
10057,Head
4121,Head
5971,Head
13180,Head
9623,Head
17025,Head
8347,Head
4834,Head
12940,Head
14535,Head
4117,Head
16640,Head
19524,Head
21314,Head
4964,Head
2354,Head
9267,Head
7593,Head
11030,Head
9694,Head
894,Head
4616,Head
6178,Head
8314,Head
12716,Head
14087,Head
3254,Head
2803,Head
3231,Head
2731,Head
38,Head
16255,Head
12310,Head
20355,Head
15143,Head
4265,Head
17315,Head
3810,Head
16632,Head
11714,Head
13110,Head
6527,Head
2301,Head
16633,Head
4813,Head
6834,Head
2490,Head
4120,Head
8253,Head
1544,Head
4174,Head
15622,Head
441,Head
14922,Head
1264,Head
1146,Head
1722,Head
8977,Head
11625,Head
19744,Head
14286,Head
21291,Head
11241,Head
1213,Head
18438,Head
13994,Head
2810,Head
14677,Head
15113,Head
9513,Head
117,Head
715,Head
5567,Head
19400,Head
9677,Head
15926,Head
7979,Head
20912,Head
6083,Head
6134,Head
3190,Head
18858,Head
11437,Head
1537,Head
16335,Head
19318,Head
19566,Head
17538,Head
21888,Head
11716,Head
18223,Head
1951,Head
3268,Head
6039,Head
6436,Head
9626,Head
14218,Head
5134,Head
9403,Head
11535,Head
10508,Head
20911,Head
17558,Head
4932,Head
9533,Head
12863,Head
9259,Head
2426,Head
21049,Head
14210,Head
11743,Head
11894,Head
13956,Head
10262,Head
11297,Head
3978,Head
1723,Head
2154,Head
4209,Head
8237,Head
13432,Head
15660,Head
6909,Head
5738,Head
4531,Head
14534,Head
11859,Head
3328,Head
17900,Head
15367,Head
4252,Head
15690,Head
1231,Head
12522,Head
16323,Head
13598,Head
2967,Head
194,Head
11242,Head
6435,Head
19469,Head
8959,Head
7527,Head
10366,Head
2769,Head
3157,Head
6835,Head
12162,Head
6101,Head
2383,Head
1224,Head
14727,Head
4731,Head
20620,Head
5664,Head
20983,Head
15371,Head
3133,Head
4189,Head
18976,Head
21002,Head
5845,Head
9253,Head
14506,Head
17962,Head
3416,Head
8402,Head
17395,Head
17409,Head
3510,Head
19845,Head
11548,Head
15423,Head
1841,Head
15751,Head
440,Head
5701,Head
14704,Head
8942,Head
5665,Head
2246,Head
8828,Head
12545,Head
367,Head
2770,Head
13809,Head
370,Head
8142,Head
1836,Head
16178,Head
3272,Head
9696,Head
15014,Head
19767,Head
15854,Head
2089,Head
19795,Head
15275,Head
11458,Head
16577,Head
20100,Head
6434,Head
10211,Head
20407,Head
12512,Head
959,Head
1197,Head
7814,Head
21003,Head
658,Head
9600,Head
20005,Head
14953,Head
18567,Head
11718,Head
14613,Head
16573,Head
20330,Head
16435,Head
19022,Head
18329,Head
9733,Head
20004,Head
5453,Head
15749,Head
20498,Head
14064,Head
5337,Head
19800,Head
6734,Head
8829,Head
16795,Head
5993,Head
3210,Head
14239,Head
16441,Head
16129,Head
19768,Head
15391,Head
8740,Head
10077,Head
14528,Head
15326,Head
3969,Head
4815,Head
15928,Head
21030,Head
14487,Head
8941,Head
1642,Head
10761,Head
13386,Head
16256,Head
694,Head
1931,Head
16244,Head
5846,Head
21541,Head
3634,Head
721,Head
7950,Head
17264,Head
1967,Head
2056,Head
2147,Head
8377,Head
19955,Head
13376,Head
11832,Head
8496,Head
11553,Head
5736,Head
2753,Head
3305,Head
4678,Head
9252,Head
16651,Head
8446,Head
20537,Head
10022,Head
1555,Head
17270,Head
3142,Head
19323,Head
12642,Head
14929,Head
8378,Head
11933,Head
3520,Head
16576,Head
21179,Head
20354,Head
8652,Head
17032,Head
14413,Head
1564,Head
512,Head
13116,Head
10247,Head
20164,Head
10727,Head
4823,Head
3825,Head
20135,Head
15754,Head
17537,Head
5564,Head
9332,Head
21022,Head
8904,Head
9164,Head
20604,Head
8080,Head
19448,Head
11842,Head
13641,Head
14510,Head
7833,Head
19895,Head
2427,Head
17961,Head
3103,Head
8420,Head
10221,Head
16593,Head
1065,Head
20179,Head
6102,Head
15126,Head
14212,Head
17869,Head
11969,Head
6619,Head
18793,Head
1944,Head
17180,Head
7871,Head
6460,Head
18025,Head
8274,Head
5061,Head
7960,Head
9049,Head
22034,Head
7427,Head
21416,Head
9528,Head
10507,Head
10762,Head
11830,Head
1497,Head
5336,Head
10258,Head
2133,Head
11789,Head
20728,Head
934,Head
5394,Head
2985,Head
422,Head
18568,Head
19208,Head
3677,Head
9467,Head
15965,Head
18802,Head
568,Head
4006,Head
5517,Head
9480,Head
1479,Head
4722,Head
11484,Head
20858,Head
255,Head
4867,Head
7497,Head
21091,Head
3095,Head
8537,Head
2546,Head
19201,Head
19595,Head
20824,Head
8826,Head
11843,Head
17899,Head
16049,Head
16592,Head
842,Head
7395,Head
9457,Head
6890,Head
15425,Head
15099,Head
2872,Head
6500,Head
16707,Head
19324,Head
20006,Head
8499,Head
6014,Head
4684,Head
7611,Head
21645,Head
11563,Head
1958,Head
19436,Head
19550,Head
3635,Head
20930,Head
5837,Head
17168,Head
21010,Head
7538,Head
14511,Head
3274,Head
21647,Head
448,Head
941,Head
4629,Head
15429,Head
1976,Head
4580,Head
15885,Head
5847,Head
17770,Head
16719,Head
1969,Head
5973,Head
12380,Head
17024,Head
3749,Head
16090,Head
15,Head
8175,Head
21046,Head
3725,Head
8807,Head
832,Head
20538,Head
21177,Head
14713,Head
1576,Head
8406,Head
5749,Head
6128,Head
13810,Head
12552,Head
12734,Head
16500,Head
8692,Head
14001,Head
2218,Head
10871,Head
9624,Head
18806,Head
19663,Head
20375,Head
15327,Head
19934,Head
5228,Head
9050,Head
11644,Head
18799,Head
15037,Head
2374,Head
21292,Head
11443,Head
16304,Head
8111,Head
13714,Head
1730,Head
