model,model_family,run_label,feature,importance
CatBoost Quick,CatBoost,catboost_quick,pid_prob,43.78554653369946
CatBoost Quick,CatBoost,catboost_quick,basket_time,16.728557251833642
CatBoost Quick,CatBoost,catboost_quick,order_time,13.194645078721141
CatBoost Quick,CatBoost,catboost_quick,click_time,11.449856532620291
CatBoost Quick,CatBoost,catboost_quick,availability,3.3301301831249015
CatBoost Quick,CatBoost,catboost_quick,pid_total_events,2.638542263442034
CatBoost Quick,CatBoost,catboost_quick,pid_segment,1.724462187600993
CatBoost Quick,CatBoost,catboost_quick,availability_likelihood,1.2126770504245739
CatBoost Quick,CatBoost,catboost_quick,day_7,0.9436155072524293
CatBoost Quick,CatBoost,catboost_quick,price,0.9160465382907136
CatBoost Quick,CatBoost,catboost_quick,day_7_likelihood,0.8289186282258307
CatBoost Quick,CatBoost,catboost_quick,adFlag,0.5708937534100068
CatBoost Quick,CatBoost,catboost_quick,group34_order,0.538211123621229
CatBoost Quick,CatBoost,catboost_quick,competitorPrice,0.5041057874788177
CatBoost Quick,CatBoost,catboost_quick,day,0.4313573106849519
CatBoost Quick,CatBoost,catboost_quick,price_per_unit,0.39889571171085103
CatBoost Quick,CatBoost,catboost_quick,day_14,0.3833984045177686
CatBoost Quick,CatBoost,catboost_quick,discount_bin,0.13710175465533472
CatBoost Quick,CatBoost,catboost_quick,salesIndex,0.1142692022813625
CatBoost Quick,CatBoost,catboost_quick,group12_order,0.08613524671098827
CatBoost Quick,CatBoost,catboost_quick,day_30,0.08263394969267918
CatBoost Quick,CatBoost,catboost_quick,has_campaign,0.0
CatBoost Quick,CatBoost,catboost_quick,category_norm,0.0
CatBoost Quick,CatBoost,catboost_quick,pharmForm_norm,0.0
CatBoost Quick,CatBoost,catboost_quick,price_diff_bin,0.0
CatBoost Quick,CatBoost,catboost_quick,group12,0.0
CatBoost Quick,CatBoost,catboost_quick,group34,0.0
CatBoost Quick,CatBoost,catboost_quick,is_greater_discount,0.0
