model,model_family,run_label,feature,importance
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,pid_prob,31.094841842755706
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,basket_time,13.911889966183866
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,click_time,11.004930012546021
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,availability,9.495652068337028
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,order_time,8.491228816170556
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,category_norm,5.025713392290667
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,pid_total_events,3.8421529551024363
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,pid_segment,2.200327197627479
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,pharmForm_norm,2.082987281330098
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,day_7,1.952042312156205
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,discount_bin,1.6866617279178198
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,day_14,1.2470741523156719
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,availability_likelihood,1.1909861847038765
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,day,1.090642842639708
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,price_per_unit,0.8938335664672228
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,group12,0.7812805294273129
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,day_30,0.7445410278239992
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,day_7_likelihood,0.7328220806964584
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,group34,0.6845498977770241
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,price_diff_bin,0.4342566002777298
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,competitorPrice,0.4090152651906101
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,price,0.36258272005028674
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,salesIndex,0.18724972972907744
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,has_campaign,0.1665376660035866
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,group34_order,0.11085359310937057
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,adFlag,0.08479348238892521
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,group12_order,0.06105543327979122
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,is_greater_discount,0.029497655701394163
