model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.05,0.7177052955900657,0.6222118111793129,0.25282231640277353,0.24294856738551118,0.9997255566427224,0.3909019863996361,0.06343173673583427,4565,261076,23,83783,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.06,0.7177052955900657,0.6222118111793129,0.26290968301344697,0.2453769642407085,0.9990812113691144,0.39398915846336274,0.08377799803545648,8144,257497,77,83729,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.07,0.7177052955900657,0.6222118111793129,0.2652905876999946,0.24596030225753,0.9989499558504165,0.3947305140766376,0.08800583058971359,8987,256654,88,83718,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.08,0.7177052955900657,0.6222118111793129,0.26867879821546614,0.2467830394527334,0.9986635801732573,0.3957668354825439,0.09348223927015553,10195,255446,112,83694,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.09,0.7177052955900657,0.6222118111793129,0.2733146943599459,0.24789283385691424,0.9980669641791757,0.3971454753505244,0.10008740667848852,11865,253776,162,83644,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.1,0.7177052955900657,0.6222118111793129,0.278540093347489,0.24915045070825584,0.9973390926663962,0.3986996694317374,0.10701266098859272,13752,251889,223,83583,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.11,0.7177052955900657,0.6222118111793129,0.2853737476641665,0.25081850020725327,0.9963964393957473,0.40075636140253207,0.11558519718431443,16219,249422,302,83504,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.12,0.7177052955900657,0.6222118111793129,0.2940588987743492,0.25297627172109644,0.9952032074075842,0.40340800537851546,0.12582877689693484,19354,246287,402,83404,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.13,0.7177052955900657,0.6222118111793129,0.30261527499162966,0.25511313686390186,0.99378326134167,0.40600191581620837,0.13494762688147063,22463,243178,521,83285,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.14,0.7177052955900657,0.6222118111793129,0.3119385772377499,0.2574295758289068,0.9917547669617928,0.4087579394645795,0.14369689342694503,25891,239750,691,83115,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.15,0.7177052955900657,0.6222118111793129,0.3212819111338772,0.2597903784589747,0.9896188817029807,0.41154403445743437,0.1520205280461863,29335,236306,870,82936,54.76021489998675,300000,349447
CatBoost Mid-Scale,CatBoost,catboost_mid_scale,full_test,0.16,0.7177052955900657,0.6222118111793129,0.3307225416157529,0.2622336296085048,0.9874829964441687,0.4144159482812582,0.16022135850760635,32813,232828,1049,82757,54.76021489998675,300000,349447
