model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.05,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.06,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.07,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.08,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.09,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.1,0.7171189285436677,0.6251710758569549,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.11,0.7171189285436677,0.6251710758569549,0.23983,0.23982239822398224,1.0,0.38686572942628306,0.0017761786732660597,1,76017,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.12,0.7171189285436677,0.6251710758569549,0.24008,0.23988236941604818,1.0,0.38694375423537386,0.009057902034462901,26,75992,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.13,0.7171189285436677,0.6251710758569549,0.24034,0.23994477128106614,1.0,0.3870249334301622,0.012811473936863872,52,75966,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.14,0.7171189285436677,0.6251710758569549,0.24084,0.24006486616348677,1.0,0.3871811430416532,0.017947591195998668,102,75916,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.15,0.7171189285436677,0.6251710758569549,0.24145,0.24021154481805343,1.0,0.38737188961306424,0.022695121946095784,163,75855,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.16,0.7171189285436677,0.6251710758569549,0.24172,0.2402765253982567,1.0,0.3874563784412563,0.02450610287637857,190,75828,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.17,0.7171189285436677,0.6251710758569549,0.24193,0.2403270901602381,1.0,0.38752211745885545,0.02582761904931746,211,75807,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.18,0.7171189285436677,0.6251710758569549,0.24223,0.24039936246353713,1.0,0.3876160690474459,0.02760685647583334,241,75777,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.19,0.7171189285436677,0.6251710758569549,0.24526,0.24113175675675674,1.0,0.3885675399795849,0.041540185855471284,544,75474,0,23982,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.2,0.7171189285436677,0.6251710758569549,0.26231,0.24524382131709563,0.9992494370778083,0.3938305792254534,0.08306957157871789,2267,73751,18,23964,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.21,0.7171189285436677,0.6251710758569549,0.26467,0.2458323501954307,0.9992077391376866,0.3945858273162137,0.08752574209569916,2504,73514,19,23963,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.22,0.7171189285436677,0.6251710758569549,0.26872,0.24682148818232397,0.9989158535568343,0.3958360872438863,0.09418544106210629,2916,73102,26,23956,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.23,0.7171189285436677,0.6251710758569549,0.27487,0.24832235647980086,0.9983320823951297,0.39771755110177165,0.1032680826247521,3545,72473,40,23942,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.24,0.7171189285436677,0.6251710758569549,0.28433,0.25056873578160543,0.9966224668501376,0.4004557297120693,0.11447465312564492,4532,71486,81,23901,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.25,0.7171189285436677,0.6251710758569549,0.29477,0.25309552355993165,0.994662663664415,0.4035151525403659,0.12586860834555716,5623,70395,128,23854,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.26,0.7171189285436677,0.6251710758569549,0.30998,0.2569376957132059,0.9922024851972313,0.4081755180458351,0.14192245202244472,7203,68815,187,23795,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.27,0.7171189285436677,0.6251710758569549,0.33066,0.2623337243531573,0.9884496705862731,0.4146260407192332,0.16145291178472046,9361,66657,277,23705,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.28,0.7171189285436677,0.6251710758569549,0.35091,0.26755795858559467,0.9821949795680094,0.4205536560762014,0.17623255696947887,11536,64482,427,23555,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.29,0.7171189285436677,0.6251710758569549,0.36705,0.2717147668544219,0.9755650070886498,0.4250456457165696,0.1859531000220512,13309,62709,586,23396,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.3,0.7171189285436677,0.6251710758569549,0.38378,0.27622410882024206,0.9686848469685597,0.42986936086747346,0.19610171891443096,15147,60871,751,23231,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.31,0.7171189285436677,0.6251710758569549,0.39789,0.28003302934997754,0.9615961971478609,0.4337505760206145,0.20344183242518143,16728,59290,921,23061,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.32,0.7171189285436677,0.6251710758569549,0.41279,0.2841359597340459,0.9533400050037528,0.43779141574195524,0.21064736949081492,18416,57602,1119,22863,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.33,0.7171189285436677,0.6251710758569549,0.43017,0.28891248448873597,0.9417062797097824,0.4421689459721393,0.21756776772804198,20433,55585,1398,22584,3.9243455000105314,100000,100000
CatBoost Quick,CatBoost,catboost_quick,quick_test_sample,0.34,0.7171189285436677,0.6251710758569549,0.44656,0.29398549582216615,0.9330748061045784,0.4471018401966073,0.22646769062248437,22279,53739,1605,22377,3.9243455000105314,100000,100000
