model,model_family,run_label,feature,importance
LightGBM Quick,LightGBM,lightgbm_quick,category_norm,40
LightGBM Quick,LightGBM,lightgbm_quick,pid_prob,29
LightGBM Quick,LightGBM,lightgbm_quick,pharmForm_norm,21
LightGBM Quick,LightGBM,lightgbm_quick,click_time,19
LightGBM Quick,LightGBM,lightgbm_quick,order_time,16
LightGBM Quick,LightGBM,lightgbm_quick,basket_time,12
LightGBM Quick,LightGBM,lightgbm_quick,discount_bin,3
LightGBM Quick,LightGBM,lightgbm_quick,pid_total_events,3
LightGBM Quick,LightGBM,lightgbm_quick,price_diff_bin,2
LightGBM Quick,LightGBM,lightgbm_quick,day_7_likelihood,2
LightGBM Quick,LightGBM,lightgbm_quick,day_30,1
LightGBM Quick,LightGBM,lightgbm_quick,day_14,1
LightGBM Quick,LightGBM,lightgbm_quick,availability,1
LightGBM Quick,LightGBM,lightgbm_quick,has_campaign,0
LightGBM Quick,LightGBM,lightgbm_quick,price,0
LightGBM Quick,LightGBM,lightgbm_quick,salesIndex,0
LightGBM Quick,LightGBM,lightgbm_quick,adFlag,0
LightGBM Quick,LightGBM,lightgbm_quick,day,0
LightGBM Quick,LightGBM,lightgbm_quick,day_7,0
LightGBM Quick,LightGBM,lightgbm_quick,competitorPrice,0
LightGBM Quick,LightGBM,lightgbm_quick,group12,0
LightGBM Quick,LightGBM,lightgbm_quick,group34,0
LightGBM Quick,LightGBM,lightgbm_quick,is_greater_discount,0
LightGBM Quick,LightGBM,lightgbm_quick,price_per_unit,0
LightGBM Quick,LightGBM,lightgbm_quick,group34_order,0
LightGBM Quick,LightGBM,lightgbm_quick,group12_order,0
LightGBM Quick,LightGBM,lightgbm_quick,availability_likelihood,0
LightGBM Quick,LightGBM,lightgbm_quick,pid_segment,0
