model,model_family,run_label,feature,importance
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,category_norm,783
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,pharmForm_norm,339
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,pid_prob,201
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,click_time,188
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,basket_time,174
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,order_time,91
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,price_diff_bin,80
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,availability,54
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,discount_bin,51
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,day_7_likelihood,39
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,day_14,32
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,day_30,30
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,pid_total_events,28
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,day_7,24
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,availability_likelihood,15
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,price_per_unit,12
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,day,12
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,price,10
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,pid_segment,9
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,competitorPrice,4
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,group34,3
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,group12,2
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,group12_order,1
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,adFlag,0
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,has_campaign,0
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,salesIndex,0
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,is_greater_discount,0
LightGBM Mid-Scale,LightGBM,lightgbm_mid_scale,group34_order,0
