model,model_family,run_label,eval_scope,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,fit_seconds,train_rows,eval_rows
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.05,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.06,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.07,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.08,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.09,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.1,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.11,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.12,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.13,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.14,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.15,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.16,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.17,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.18,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.19,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
LightGBM Quick,LightGBM,lightgbm_quick,quick_test_sample,0.2,0.7133115475446509,0.6656515048423669,0.23982,0.23982,1.0,0.3868626090884161,0.0,0,76018,0,23982,0.5600417999958154,100000,100000
