model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
Logistic Regression,0.05,0.7099992933275905,0.6329333000580667,0.25921527441929676,0.24444911579998424,0.9990573467293511,0.392790375282359,0.07612119385275858,6855,258786,79,83727,logistic_regression,2513.501235799995
Logistic Regression,0.06,0.7099992933275905,0.6329333000580667,0.2595672591265628,0.24452499313616105,0.9989618881702981,0.3928809423248393,0.07659060698901692,6986,258655,87,83719,logistic_regression,2513.501235799995
Logistic Regression,0.07,0.7099992933275905,0.6329333000580667,0.2600852203624584,0.24464537773868217,0.9988902942510083,0.39303077323955893,0.07748010706012913,7173,258468,93,83713,logistic_regression,2513.501235799995
Logistic Regression,0.08,0.7099992933275905,0.6329333000580667,0.2610009529342075,0.24486393035480786,0.9988067680118369,0.39330628469668955,0.07915437421929106,7500,258141,100,83706,logistic_regression,2513.501235799995
Logistic Regression,0.09,0.7099992933275905,0.6329333000580667,0.2628095247634119,0.24529656757144908,0.9986397155334941,0.39385119284317627,0.08236505301918576,8146,257495,114,83692,logistic_regression,2513.501235799995
Logistic Regression,0.1,0.7099992933275905,0.6329333000580667,0.26506737788563073,0.24583676107650723,0.9984130014557431,0.39452950024282946,0.08617536267740225,8954,256687,133,83673,logistic_regression,2513.501235799995
Logistic Regression,0.11,0.7099992933275905,0.6329333000580667,0.26817800696529087,0.2465825710385977,0.9980788964990573,0.39546313084631335,0.09114044177352697,10069,255572,161,83645,logistic_regression,2513.501235799995
Logistic Regression,0.12,0.7099992933275905,0.6329333000580667,0.27096812964483885,0.24723805918951527,0.997637400663437,0.3962708602899705,0.09507052325577714,11081,254560,198,83608,logistic_regression,2513.501235799995
Logistic Regression,0.13,0.7099992933275905,0.6329333000580667,0.274078758724499,0.24795159198620645,0.9969691907500656,0.3971338601390292,0.09891144208003558,12224,253417,254,83552,logistic_regression,2513.501235799995
Logistic Regression,0.14,0.7099992933275905,0.6329333000580667,0.2782653735759643,0.24892354484732823,0.9960981313987065,0.39830997743137564,0.10397569608047814,13760,251881,327,83479,logistic_regression,2513.501235799995
Logistic Regression,0.15,0.7099992933275905,0.6329333000580667,0.28408027540657094,0.25026569076596994,0.9947020499725556,0.3999136483569201,0.11036343692193513,15909,249732,444,83362,logistic_regression,2513.501235799995
Logistic Regression,0.16,0.7099992933275905,0.6329333000580667,0.2899123472228979,0.2515992502569684,0.9930553898288905,0.4014800306812097,0.11608476008712239,18085,247556,582,83224,logistic_regression,2513.501235799995
Logistic Regression,0.17,0.7099992933275905,0.6329333000580667,0.29628241192512744,0.25311451042028377,0.991551917523805,0.40328263464916964,0.12264503286526542,20437,245204,708,83098,logistic_regression,2513.501235799995
Logistic Regression,0.18,0.7099992933275905,0.6329333000580667,0.3025523183773219,0.2545772648444574,0.9896666109825072,0.40497948003056633,0.12823419793639007,22786,242855,866,82940,logistic_regression,2513.501235799995
Logistic Regression,0.19,0.7099992933275905,0.6329333000580667,0.30806674545782337,0.2558281146644082,0.9875784550032217,0.40638410700081506,0.13239357510909802,24888,240753,1041,82765,logistic_regression,2513.501235799995
Logistic Regression,0.2,0.7099992933275905,0.6329333000580667,0.3142593869742765,0.2572925622718154,0.9855380283034627,0.40805497779248945,0.13745848225451412,27223,238418,1212,82594,logistic_regression,2513.501235799995
Logistic Regression,0.21,0.7099992933275905,0.6329333000580667,0.32141354769106617,0.25907756708003093,0.9836885187218098,0.41013611669419514,0.14389782302544485,29878,235763,1367,82439,logistic_regression,2513.501235799995
Logistic Regression,0.22,0.7099992933275905,0.6329333000580667,0.3287250999436252,0.2608625311275715,0.9812304608261938,0.4121531371463083,0.1495637863707786,32639,233002,1573,82233,logistic_regression,2513.501235799995
Logistic Regression,0.23,0.7099992933275905,0.6329333000580667,0.3363485736034363,0.26273209336601466,0.9784502302937738,0.41423451230200725,0.15510458878886252,35536,230105,1806,82000,logistic_regression,2513.501235799995
Logistic Regression,0.24,0.7099992933275905,0.6329333000580667,0.3440636205204223,0.2646227560418926,0.9753239624847863,0.41629678296676015,0.16027052982812723,38494,227147,2068,81738,logistic_regression,2513.501235799995
