model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Gradient Boosting,0.05,0.7134517299767646,0.4969845311191343,0.29189,0.2523349657820417,0.9947460595446584,0.40255477839744186,0.12197822132652128,5333,70685,126,23856
Gradient Boosting,0.06,0.7134517299767646,0.4969845311191343,0.33275,0.2625362504027823,0.9852389291968977,0.4145954150253112,0.15959998883520993,9647,66371,354,23628
Gradient Boosting,0.07,0.7134517299767646,0.4969845311191343,0.3519,0.26742013398350273,0.9787340505379034,0.4200655010111495,0.17318511149593507,11718,64300,510,23472
Gradient Boosting,0.08,0.7134517299767646,0.4969845311191343,0.37134,0.2724857818241393,0.9709365357351347,0.4255455243247195,0.1854327950968869,13849,62169,697,23285
Gradient Boosting,0.09,0.7134517299767646,0.4969845311191343,0.39287,0.2782935161823823,0.9612626136268868,0.43162733221617877,0.1979595874986094,16234,59784,929,23053
Gradient Boosting,0.1,0.7134517299767646,0.4969845311191343,0.41282,0.28370569628135195,0.9499207739137686,0.4369198312236287,0.20750056376397383,18501,57517,1201,22781
Gradient Boosting,0.11,0.7134517299767646,0.4969845311191343,0.43329,0.28943740901536913,0.9368276207155366,0.4422420156488362,0.2164349757532906,20862,55156,1515,22467
Gradient Boosting,0.12,0.7134517299767646,0.4969845311191343,0.45842,0.2971552257266543,0.9216495705112168,0.44941238664552074,0.2288136467546044,23739,52279,1879,22103
Gradient Boosting,0.13,0.7134517299767646,0.4969845311191343,0.47747,0.3031075453038597,0.9073888749895755,0.4544192116940747,0.23647211394917758,25986,50032,2221,21761
Gradient Boosting,0.14,0.7134517299767646,0.4969845311191343,0.49502,0.3083605562140441,0.889542156617463,0.45796659653943583,0.24051437404130932,28169,47849,2649,21333
Gradient Boosting,0.15,0.7134517299767646,0.4969845311191343,0.5158,0.31494775102226263,0.867150362772079,0.462071723770164,0.2453140059351059,30784,45234,3186,20796
Gradient Boosting,0.16,0.7134517299767646,0.4969845311191343,0.53763,0.3227060529292736,0.8445500792260863,0.46697792379964265,0.25202582470520646,33509,42509,3728,20254
Gradient Boosting,0.17,0.7134517299767646,0.4969845311191343,0.55559,0.3292664608194943,0.8226169627220415,0.4702909520006675,0.2561173974897901,35831,40187,4254,19728
Gradient Boosting,0.18,0.7134517299767646,0.4969845311191343,0.57207,0.33586947037780296,0.8025602535234759,0.4735566572760712,0.26061643815325436,37960,38058,4735,19247
Gradient Boosting,0.19,0.7134517299767646,0.4969845311191343,0.58634,0.3413057766742131,0.7795012926361438,0.4747441399801915,0.26156514342249404,39940,36078,5288,18694
Gradient Boosting,0.2,0.7134517299767646,0.4969845311191343,0.60126,0.3480746434170777,0.7591109999166041,0.47729536993340677,0.26549398022882953,41921,34097,5777,18205
