candidate_id,model_key,model_label,evaluation_label,source_type,evaluation_variant,prediction_column,n_rows,mse,rmse,mae,median_ae,mape,r2,bias,bias_abs,quantity_eq_1_mae,quantity_gt_1_mae,quantity_gt_1_rmse,quantity_ge_3_mae,delta_mae_vs_always_1,delta_rmse_vs_always_1,beats_always_1_mae,beats_always_1_rmse,beats_always_1_quantity_gt_1_mae,beats_always_1_quantity_gt_1_rmse,raw_count_prediction_lt_zero,raw_count_prediction_lt_one,clipping_applied_for_model,plausible_predictions,mae_rank_all,rmse_rank_all,mae_rank_models_only,rmse_rank_models_only,mae_rank_baselines_only,rmse_rank_baselines_only,candidate_status
always_1__raw,always_1,Always-1 baseline,Always-1 baseline,baseline,raw,prediction__always_1__raw,82403,2.008313,1.41715,0.350752,0.0,11.219003,-0.065256,-0.350752,0.350752,0.0,1.778537,3.191149,3.743278,0.0,0.0,False,False,False,False,0.0,0.0,False,True,1.0,12.0,,,1.0,2.0,baseline_anchor
train_median__raw,train_median,TRAIN-Median baseline,TRAIN-Median baseline,baseline,raw,prediction__train_median__raw,82403,2.008313,1.41715,0.350752,0.0,11.219003,-0.065256,-0.350752,0.350752,0.0,1.778537,3.191149,3.743278,0.0,0.0,False,False,False,False,0.0,0.0,False,True,1.0,12.0,,,1.0,2.0,baseline_reference
train_mean__raw,train_mean,TRAIN-Mean baseline,TRAIN-Mean baseline,baseline,raw,prediction__train_mean__raw,82403,1.885677,1.3732,0.551184,0.33098,34.975494,-0.000207,-0.019772,0.019772,0.33098,1.447557,3.019216,3.412299,0.200432,-0.04395,False,False,False,False,0.0,0.0,False,True,12.0,11.0,,,2.0,1.0,baseline_reference
histgb_log1p__clipped_at_1,histgb_log1p,HistGradientBoostingRegressor (log1p target),HistGradientBoostingRegressor (log1p target) (clipped at 1),model,clipped_at_1,prediction__histgb_log1p__clipped_at_1,82403,1.68276,1.297212,0.437592,0.178204,24.778607,0.107424,-0.100849,0.100849,0.205769,1.381258,2.859282,3.118333,0.08684,-0.119937,False,True,True,True,0.0,1.0,True,True,2.0,5.0,1.0,5.0,,,dual_validation_candidate
histgb_log1p__raw,histgb_log1p,HistGradientBoostingRegressor (log1p target),HistGradientBoostingRegressor (log1p target),model,raw,prediction__histgb_log1p__raw,82403,1.68276,1.297212,0.437592,0.178204,24.778614,0.107424,-0.10085,0.10085,0.205769,1.381258,2.859282,3.118333,0.08684,-0.119937,False,True,True,True,0.0,1.0,True,False,3.0,6.0,2.0,6.0,,,challenger_only
catboost__clipped_at_1,catboost,CatBoostRegressor,CatBoostRegressor (clipped at 1),model,clipped_at_1,prediction__catboost__clipped_at_1,82403,1.755398,1.324914,0.480893,0.226662,30.128328,0.068895,-0.008023,0.008023,0.279526,1.300586,2.842185,2.966165,0.130141,-0.092235,False,True,True,True,0.0,12.0,True,True,4.0,7.0,3.0,7.0,,,dual_validation_candidate
catboost__raw,catboost,CatBoostRegressor,CatBoostRegressor,model,raw,prediction__catboost__raw,82403,1.755398,1.324915,0.480895,0.226662,30.128524,0.068895,-0.008025,0.008025,0.279529,1.300586,2.842185,2.966165,0.130143,-0.092235,False,True,True,True,0.0,12.0,True,False,5.0,8.0,4.0,8.0,,,challenger_only
lightgbm__clipped_at_1,lightgbm,LightGBMRegressor,LightGBMRegressor (clipped at 1),model,clipped_at_1,prediction__lightgbm__clipped_at_1,82403,1.671188,1.292745,0.483683,0.217327,30.619246,0.113562,0.011124,0.011124,0.283318,1.299301,2.731903,2.885705,0.132932,-0.124405,False,True,True,True,0.0,184.0,True,True,6.0,3.0,5.0,3.0,,,dual_validation_candidate
lightgbm__raw,lightgbm,LightGBMRegressor,LightGBMRegressor,model,raw,prediction__lightgbm__raw,82403,1.671349,1.292807,0.483786,0.217327,30.628079,0.113477,0.011022,0.011022,0.283417,1.299415,2.732045,2.885865,0.133034,-0.124343,False,True,True,True,0.0,184.0,True,False,7.0,4.0,6.0,4.0,,,challenger_only
random_forest__raw,random_forest,RandomForestRegressor,RandomForestRegressor,model,raw,prediction__random_forest__raw,82403,1.622329,1.273707,0.48619,0.233322,30.941125,0.139479,0.005876,0.005876,0.288377,1.291416,2.714486,2.877118,0.135438,-0.143443,False,True,True,True,0.0,0.0,False,True,8.0,1.0,7.0,1.0,,,dual_validation_candidate
histgb__raw,histgb,HistGradientBoostingRegressor,HistGradientBoostingRegressor,model,raw,prediction__histgb__raw,82403,1.661815,1.289114,0.496001,0.232114,31.140103,0.118534,-0.013266,0.013266,0.2876,1.344327,2.780492,3.038809,0.145249,-0.128036,False,True,True,True,0.0,0.0,False,True,9.0,2.0,8.0,2.0,,,dual_validation_candidate
ridge__clipped_at_1,ridge,Ridge Regression,Ridge Regression (clipped at 1),model,clipped_at_1,prediction__ridge__clipped_at_1,82403,1.755547,1.32497,0.514404,0.3056,33.677225,0.068817,0.026169,0.026169,0.327572,1.27493,2.839944,2.973574,0.163652,-0.092179,False,True,True,True,4.0,4052.0,True,True,10.0,9.0,9.0,9.0,,,dual_validation_candidate
ridge__raw,ridge,Ridge Regression,Ridge Regression,model,raw,prediction__ridge__raw,82403,1.757995,1.325894,0.519359,0.30742,34.146917,0.067518,0.021214,0.021214,0.333138,1.277399,2.841113,2.974879,0.168608,-0.091256,False,True,True,True,4.0,4052.0,True,False,11.0,10.0,10.0,10.0,,,challenger_only
