lineID|day|pid|adFlag|availability|competitorPrice|click|basket|order|price|revenue
1|26|101|0|1|8.56|0|0|0|9.89|0.0
2|26|101|0|4|7.74|0|0|0|7.97|0.0
3|26|101|0|4|9.34|0|1|0|10.16|0.0
4|26|102|1|2|12.75|0|0|0|11.28|0.0
5|26|102|0|2|16.16|1|0|0|13.78|0.0
6|26|102|1|1|16.29|0|0|0|14.02|0.0
7|26|103|0|2|9.49|0|0|0|7.44|0.0
8|26|104|0|2|7.71|0|1|0|7.12|0.0
9|26|104|0|3|8.63|0|0|0|7.34|0.0
10|26|105|0|1|10.92|0|0|0|9.4|0.0
11|26|106|0|1|15.43|1|1|0|12.88|0.0
12|26|106|0|4|16.64|0|0|0|13.37|0.0
13|26|106|1|1|18.43|0|0|0|16.0|0.0
14|26|107|0|3|26.22|0|0|0|24.75|0.0
15|26|107|0|1|22.2|0|0|0|22.98|0.0
16|26|108|1|1|36.18|0|0|0|34.66|0.0
17|26|108|0|2|30.72|0|0|0|24.62|0.0
18|30|101|0|4|7.7|0|0|0|10.43|0.0
19|30|101|0|1||0|0|0|7.4|0.0
20|30|101|0|4|8.11|1|1|1|10.69|21.38
21|30|102|0|4|15.49|0|0|0|12.99|0.0
22|30|102|0|3|14.11|0|0|0|11.99|0.0
23|30|103|0|4|6.89|0|0|0|6.94|0.0
24|30|103|0|1|7.58|1|1|0|6.89|0.0
25|30|103|1|1|9.33|0|0|0|6.49|0.0
26|30|104|1|3|7.88|0|0|0|5.54|0.0
27|30|104|0|1||1|0|0|5.77|0.0
28|30|105|0|1|13.01|0|0|0|8.67|0.0
29|30|105|0|1|12.95|0|0|0|10.29|0.0
30|30|106|0|1|19.23|0|0|0|17.93|0.0
31|30|106|0|3|17.58|1|0|0|12.96|0.0
32|30|107|0|2||1|0|0|20.65|0.0
33|30|108|0|4||0|1|0|23.59|0.0
34|35|101|0|4|9.89|0|0|0|8.68|0.0
35|35|101|0|2|10.35|0|1|0|8.09|0.0
36|35|102|0|1||0|0|0|11.11|0.0
37|35|102|0|1|16.59|0|1|0|12.82|0.0
38|35|103|0|4|9.33|0|0|0|8.4|0.0
39|35|103|0|1|9.61|0|0|0|7.08|0.0
40|35|103|0|1|9.49|1|0|0|7.01|0.0
41|35|104|0|3|5.9|0|0|0|7.59|0.0
42|35|105|0|3|11.04|0|0|0|8.95|0.0
43|35|105|0|4||0|1|1|11.09|11.09
44|35|106|0|2|14.49|0|0|0|14.24|0.0
45|35|106|1|4|18.84|0|0|0|17.53|0.0
46|35|107|1|1||0|0|0|23.1|0.0
47|35|108|0|2||0|1|1|27.44|27.44
48|35|108|1|2|34.24|0|0|0|25.48|0.0
